Initial measurement results
raw_names,1,2,3,4,5,6,7,8,9,10,11,12
A,,0.108200010061264,0.29910001039505,0.193900004029274,0.182799994945526,0.170499995350838,0.650499999523163,0.763700015544891,0.520999972820282,1.26010000705719,1.24629998207092,1.16659998893738
B,0.0476000010967255,0.0494999997317791,0.0507000014185905,0.244100004434586,0.251399993896484,0.244100004434586,0.712999999523163,0.822100019454956,0.576599979400635,1.30879998207092,1.26250004768372,1.12979996204376
C,0.0822999987006187,0.0209000010788441,0.0511000007390976,0.187699997425079,0.289700001478195,0.391000008583069,0.8217999958992,0.907899975776672,0.97109997844696,1.17869997024536,1.2467999458313,1.13549995422363
D,0.0808999989926815,0.0373999993503094,0.0573999993503094,0.354400008916855,0.336299985647202,0.356799989938736,1.05770003795624,1.16060004234314,0.95849996089935,1.20110005378723,1.41230003833771,1.28849995136261
E,0.0715000033378601,0.0690999999642372,0.0712999999523163,0.379599988460541,0.343800008296967,0.372200012207031,1.04639995098114,1.00699996948242,1.04649996757507,1.27909994125366,1.30680000782013,1.32490003108978
F,0.0872000008821487,0.0833000019192696,0.0861999988555908,0.569399998188019,0.429800003767014,0.323659999966621,1.21129997253418,1.12870001792908,1.02850001335144,1.29499995708466,1.37290000915527,1.3309999704361
G,0.0996999964118004,0.102799996733665,0.0917999967932701,0.46900001168251,0.509299993515015,0.484899997711182,1.17990005016327,1.17079997062683,1.10490000247955,1.28149997234344,1.29070004940033,1.30549998283386
H,0.116800002753735,0.116899996995926,0.116300001740456,0.543900012969971,0.589200019836426,0.564199984073639,1.23109996318817,1.16180002689362,1.1438000202179,1.24150002002716,1.31309998035431,

Multiwell plate map
raw_names,1,2,3,4,5,6,7,8,9,10,11,12
A,BLQ,sam1,sam1,empty,empty,empty,std3,std3,std3,empty,empty,empty
B,empty,empty,empty,empty,empty,empty,sam2,sam2,sam2,empty,empty,empty
C,empty,empty,empty,std1,std1,std1,std4,std4,std4,empty,empty,empty
D,sam4,sam4,sam4,empty,empty,empty,sam3,sam3,sam3,std6,std6,std6
E,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
F,empty,empty,empty,std2,std2,std2,std5,std5,std5,empty,empty,empty
G,empty,empty,empty,empty,empty,empty,empty,empty,empty,sam5,sam5,sam5
H,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,BLQ

Calibration standards
,std_name,samples_nb,absorbance,abs_std,conc,abs_std_var,Errors
0,std1,3,0.28946666916211433,"[0.187699997425079, 0.289700001478195, 0.391000008583069]",0.02,0.08299704600039293,
1,std2,3,0.44095333397388464,"[0.569399998188019, 0.429800003767014, 0.323659999966621]",0.04,0.10063244759185379,
2,std3,3,0.6450666626294453,"[0.650499999523163, 0.763700015544891, 0.520999972820282]",0.08,0.09915633631453659,
3,std4,3,0.900266650040944,"[0.8217999958992, 0.907899975776672, 0.97109997844696]",0.2,0.06118998798023065,
4,std5,3,1.1228333346049,"[1.21129997253418, 1.12870001792908, 1.02850001335144]",0.5,0.07474298071490287,
5,std6,3,1.3006333478291834,"[1.20110005378723, 1.41230003833771, 1.28849995136261]",2.0,0.08664784225392663,

Calculation results
good_sample_names,concentration_X_axis,c_st_dev_bo,c_st_dev_up,Absorbance_Y_axis,Abs_st_dev
sam1,0.012141562385185066,0.008989203599318808,0.0069315132537471225,sam1,0.09545000016689302
sam2,0.09955650111577057,0.04032487856281551,0.02868330644226874,sam2,0.1004313195423823
sam3,0.37164606409571,0.18943883704619746,0.1095138693806359,sam3,0.08251162147809744
sam4,0.002368756230057091,0.0009547856145279503,0.0008766537480674392,sam4,0.01777795123828596
sam5,1.800800923474222,0.23001196616934805,0.18864677650986295,sam5,0.009886466344508597

BLQ samples
,bad_sample_names
0,sam1
1,empty

Coefficient of Determination R^2: 0.9998829
Akaike Information Criterion AIC: -58.58100368
Bayesian Information Criterion BIC: -59.4139658
Coefficient of Correlation r: 0.99994145
The Residual Sum of Squares RSS: 1.516e-05

 Data input in lin_lin representation: Absorbance=D+((A-D)/(1+(Conc/C)^B)
D: 1.40215618
A: 0.00229851
B: 0.85003866
C: 0.0989983

The range of parameter changes used:
D: [0.0 ;5.0] 
A: [-2.0 ;5.0] 
B: [0.0 ;10.0] 
C: [0.0 ;30.0] 
Time of calculation: 22.194879
