Initial measurement results
raw_names,1,2,3,4,5,6,7,8,9,10,11,12
A,,1.30760864874782,1.30878602670896,1.21397488428965,1.20057426314563,1.1858976464204,1.91649883799706,2.00110597565274,1.89837825714347,3.52577407202387,3.47745248813043,3.21105643006398
B,1.048751072135,1.05074559193299,1.05200724525738,1.27647197696506,1.2858243033554,1.27647197696506,2.04010239357039,2.05875209363708,1.96717790351231,3.70172890476497,3.53424623573847,3.09503731325771
C,1.05369180127362,1.05221766739049,1.05242813161217,1.33335723351194,1.3360266218872,1.33776459543216,2.41524322398631,2.47911087011104,2.49702488809589,3.25014616847393,3.47919152304393,3.11272937614864
D,1.06279262853952,1.05907935673534,1.05907935673534,1.42532521525951,1.39975886940447,1.42875007688369,2.8797400738983,2.88810345380359,2.79686727621175,3.52930177449512,3.90516500944108,3.62734128433696
E,1.07411815428657,1.0715433580883,1.0739033485009,1.4616997756984,1.41029655969145,1.45092315461548,2.84738192984085,2.73737647129238,2.8476667295252,3.59340399491913,3.69433294060623,3.76180927222853
F,1.09111488183614,1.08686782207607,1.09002431012094,1.58312382281119,1.53695010857639,1.54743697793698,3.09968338540316,3.0916348168013,2.9996631929579,3.65099581745754,3.94677981277899,3.78482621021415
G,1.10483941256356,1.10826972934256,1.09614556752719,1.59839501742791,1.66412588821875,1.62401259574688,3.25404894497444,3.22457116923609,3.01892256894088,3.63823972389433,3.74604287463297,3.87869975520509
H,1.1238946313804,1.12400701999138,1.12333282338987,1.72271237850495,1.80254583754399,1.75804075936963,3.42499483330228,3.19568041275053,3.13867275232136,3.46080084377949,3.71768060426238,

Multiwell plate map
raw_names,1,2,3,4,5,6,7,8,9,10,11,12
A,BLQ,sam1,sam1,empty,empty,empty,std3,std3,std3,empty,empty,empty
B,empty,empty,empty,empty,empty,empty,sam2,sam2,sam2,empty,empty,empty
C,empty,empty,empty,std1,std1,std1,std4,std4,std4,empty,empty,empty
D,sam4,sam4,sam4,empty,empty,empty,sam3,sam3,sam3,std6,std6,std6
E,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
F,empty,empty,empty,std2,std2,std2,std5,std5,std5,empty,empty,empty
G,empty,empty,empty,empty,empty,empty,empty,empty,empty,sam5,sam5,sam5
H,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,BLQ

Calibration standards
,std_name,samples_nb,absorbance,abs_std,conc,abs_std_var,Errors
0,std1,3,1.335714920067636,"[0.28769999742508257, 0.289700001478198, 0.29100000858306824]",0.02,0.0013572893054426625,
1,std2,3,1.5557120236827684,"[0.4593999981880164, 0.42980000376701705, 0.4365999996662141]",0.04,0.01265894302480125,
2,std3,3,1.9381488747916646,"[0.6504999995231624, 0.6937000155448909, 0.6409999728202826]",0.08,0.022934172452692525,
3,std4,3,2.4635415851483855,"[0.8817999958992021, 0.9078999757766726, 0.9150999784469587]",0.2,0.0143059343775674,
4,std5,3,3.063322163129503,"[1.1312999725341788, 1.1287000179290796, 1.0985000133514389]",0.5,0.014887121066462117,
5,std6,3,3.68388050318076,"[1.261100053787231, 1.3623000383377093, 1.2884999513626096]",2.0,0.04273775860822028,

Calculation results
good_sample_names,concentration_X_axis,c_st_dev_bo,c_st_dev_up,Absorbance_Y_axis,Abs_st_dev
sam1,0.018428864247977468,4.0171295264072177e-05,4.012068014552436e-05,sam1,0.0004500001668927833
sam2,0.09656724761694256,0.006744523976501701,0.006291591512542147,sam2,0.01965826225117581
sam3,0.3571096495986435,0.024759570030162437,0.022584583870579544,sam3,0.01449701024453214
sam4,0.004435486527908448,7.71460927179975e-05,7.666526290257738e-05,sam4,0.001649915654180893
sam5,2.527446007764605,1.265442015629477,0.6891166763929883,sam5,0.026161212191334385

BLQ samples
,bad_sample_names
0,sam1
1,empty

Coefficient of Determination R^2: 0.99954078
Akaike Information Criterion AIC: -50.40943375
Bayesian Information Criterion BIC: -51.24239588
Coefficient of Correlation r: 0.99977036
The Residual Sum of Squares RSS: 5.918e-05

 Data input in ln_lin representation: Absorbance=D+((A-D)/(1+(Conc/C)^B)
D: 1.42420838
A: -0.07563028
B: 0.77877087
C: 0.0872504

The range of parameter changes used:
D: [0.0 ;10.0] 
A: [-5.0 ;2.0] 
B: [0.0 ;15.0] 
C: [0.0 ;10.0] 
Time of calculation: 10.515144
